Country Name,Country Code,2024
Aruba,ABW,
Afghanistan,AFG,
Angola,AGO,2122.08369
Albania,ALB,10011.62799
Andorra,AND,49303.67339
United Arab Emirates,ARE,49377.56434
Argentina,ARG,13858.20398
Armenia,ARM,8500.605225
American Samoa,ASM,
Antigua and Barbuda,ATG,23725.79037
Australia,AUS,64407.48426
Austria,AUT,56833.19605
Azerbaijan,AZE,7283.83563
Burundi,BDI,153.9302179
Belgium,BEL,55954.61063
Benin,BEN,1485.38019
Burkina Faso,BFA,987.3213781
Bangladesh,BGD,2593.416074
Bulgaria,BGR,17412.41151
Bahrain,BHR,30048.21777
"Bahamas, The",BHS,39455.44665
Bosnia and Herzegovina,BIH,8957.372942
Belarus,BLR,8316.647763
Belize,BLZ,8429.679597
Bermuda,BMU,138934.9588
Bolivia,BOL,4001.21134
Brazil,BRA,10280.31486
Barbados,BRB,25365.79494
Brunei Darussalam,BRN,33417.83577
Bhutan,BTN,
Botswana,BWA,7695.242064
Central African Republic,CAF,516.1704245
Canada,CAN,54282.61761
Switzerland,CHE,103669.872
Chile,CHL,16709.8894
China,CHN,13303.14815
Cote d'Ivoire,CIV,2709.895116
Cameroon,CMR,1762.368351
"Congo, Dem. Rep.",COD,647.4357048
"Congo, Rep.",COG,2482.248947
Colombia,COL,7913.988015
Comoros,COM,1784.115469
Cabo Verde,CPV,5272.85253
Costa Rica,CRI,18587.15322
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,38654.16797
Czechia,CZE,31706.62342
Germany,DEU,55800.21945
Djibouti,DJI,3496.471119
Dominica,DMA,10405.27878
Denmark,DNK,71851.75621
Dominican Republic,DOM,10875.66184
Algeria,DZA,5631.179991
Ecuador,ECU,6874.70574
"Egypt, Arab Rep.",EGY,3338.473714
Eritrea,ERI,
Spain,ESP,35297.0095
Estonia,EST,31170.09151
Ethiopia,ETH,
Finland,FIN,53188.61862
Fiji,FJI,6288.398673
France,FRA,46150.48769
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,4166.004767
Gabon,GAB,8218.763071
United Kingdom,GBR,52636.78659
Georgia,GEO,9193.663664
Ghana,GHA,2405.794664
Gibraltar,GIB,
Guinea,GIN,1717.023181
"Gambia, The",GMB,908.5256742
Guinea-Bissau,GNB,962.9836279
Equatorial Guinea,GNQ,6745.400132
Greece,GRC,24752.10684
Grenada,GRD,11871.6117
Greenland,GRL,
Guatemala,GTM,6150.025978
Guam,GUM,
Guyana,GUY,29883.63412
"Hong Kong SAR, China",HKG,54107.03452
Honduras,HND,3426.434833
Croatia,HRV,23931.45284
Haiti,HTI,2142.623305
Hungary,HUN,23310.75127
Indonesia,IDN,4925.430488
Isle of Man,IMN,
India,IND,2696.6639
Ireland,IRL,107316.3373
"Iran, Islamic Rep.",IRN,4771.40029
Iraq,IRQ,6073.610323
Iceland,ISL,82703.85799
Israel,ISR,54176.68444
Italy,ITA,40226.04724
Jamaica,JAM,7019.746348
Jordan,JOR,4618.095925
Japan,JPN,32475.8925
Kazakhstan,KAZ,14005.34874
Kenya,KEN,2206.134979
Kyrgyz Republic,KGZ,2419.265536
Cambodia,KHM,2627.879697
Kiribati,KIR,2288.634583
St. Kitts and Nevis,KNA,22771.41689
"Korea, Rep.",KOR,
Kuwait,KWT,32213.86223
Lao PDR,LAO,2123.979094
Lebanon,LBN,
Liberia,LBR,846.2773684
Libya,LBY,6318.40314
St. Lucia,LCA,14181.63034
Liechtenstein,LIE,
Sri Lanka,LKA,4515.567873
Lesotho,LSO,971.8146205
Lithuania,LTU,29386.28784
Luxembourg,LUX,137516.5873
Latvia,LVA,23367.59868
"Macao SAR, China",MAC,73046.88903
St. Martin (French part),MAF,
Morocco,MAR,3993.387451
Monaco,MCO,
Moldova,MDA,7617.516131
Madagascar,MDG,544.9973027
Maldives,MDV,13215.53536
Mexico,MEX,14157.94458
Marshall Islands,MHL,7466.651865
North Macedonia,MKD,9310.0279
Mali,MLI,1086.176218
Malta,MLT,42347.30739
Myanmar,MMR,1359.259614
Montenegro,MNE,12935.45227
Mongolia,MNG,6691.482098
Northern Mariana Islands,MNP,
Mozambique,MOZ,647.2857995
Mauritania,MRT,2082.783744
Mauritius,MUS,11871.73368
Malawi,MWI,508.3712735
Malaysia,MYS,11867.25864
Namibia,NAM,4413.127442
New Caledonia,NCL,
Niger,NER,722.7486503
Nigeria,NGA,806.9456951
Nicaragua,NIC,2847.539663
Netherlands,NLD,68218.7261
Norway,NOR,86809.72469
Nepal,NPL,1447.310045
Nauru,NRU,13421.83306
New Zealand,NZL,48747.01369
Oman,OMN,20248.41681
Pakistan,PAK,1484.749859
Panama,PAN,19102.85219
Peru,PER,8452.37167
Philippines,PHL,3984.831539
Palau,PLW,
Papua New Guinea,PNG,3076.487862
Poland,POL,25022.67164
Puerto Rico (US),PRI,39285.01746
"Korea, Dem. People's Rep.",PRK,
Portugal,PRT,28844.49792
Paraguay,PRY,6416.09709
